ID,Protein_type,Protein_class,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,
F73,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.2,tween-20,0.05,1.31,1.31,1.31,1.31,1.31,
F74,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.4,tween-20,0.05,1.56,1.56,1.56,1.56,1.56,
F75,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-20,0.05,2.33,2.33,2.33,2.33,2.33,
F76,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,none,0,1.42,1.42,1.42,1.42,1.42,
F77,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,1,none,0,3.1,3.1,3.1,3.1,3.1,
F78,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,none,0,1.42,1.42,1.42,1.42,1.42,
F79,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,1,none,0,3.1,3.1,3.1,3.1,3.1,
F80,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,tween-20,0.1,1.47,1.47,1.47,1.47,1.47,
F81,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,1,tween-20,0.1,3.15,3.15,3.15,3.15,3.15,
F82,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,tween-80,0.1,1.54,1.54,1.54,1.54,1.54,
F83,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,1,tween-80,0.1,3.22,3.22,3.22,3.22,3.22,
F84,BSA,other,66,4.7,0.3,145,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,9,9,9,9,9,
F85,BGG,polyclonal,150,6.6,1,163,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,15.7,15.7,13,11.3,9.5,
F86,poly-hIgG,polyclonal,150,7.6,1,166,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,16.6,16.6,16.6,15.2,9.3,
F87,BSA,other,66,4.7,0.3,65,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,4.3,4.3,4.3,4.3,4.3,
F88,BGG,polyclonal,150,6.6,1,77,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,5,5,5,5,5,
F89,poly-hIgG,polyclonal,150,7.6,1,72,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,5.1,4.4,4.4,4.4,4.4,
F90,BGG,polyclonal,150,6.6,1,66,25,PBS,7.4,10,NaCl,140,Trehalose,0.47,none,0,2.1,2.1,2.1,2.1,2.1,
F91,BSA,other,66,4.7,0.3,67,25,PBS,7.4,10,NaCl,140,Trehalose,0.466,none,0,2.4,2.3,2.1,2.1,2,
F92,poly-hIgG,polyclonal,150,7.6,1,68,25,PBS,7.4,10,NaCl,140,Trehalose,0.447,none,0,3,2.5,2.36,2.36,2.3,
F93,BGG,polyclonal,150,6.6,1,152,25,Histidine,6,100,NaCl,140,none,0,none,0,4.1,4.1,4.1,3.82,2.7,
F94,BGG,polyclonal,150,6.6,1,87,25,Histidine,6,100,NaCl,140,none,0,none,0,2.5,2.5,2.5,2.3,1.8,
F95,BGG,polyclonal,150,6.6,1,66,25,Histidine,6,100,NaCl,140,none,0,none,0,1.67,1.67,1.67,1.67,1.67,
F96,BGG,polyclonal,150,6.6,1,57,25,Histidine,6,100,NaCl,140,none,0,none,0,1.4,1.4,1.4,1.4,1.4,
F97,BGG,polyclonal,150,6.6,1,165,25,Histidine,6,100,NaCl,140,none,0,none,0,7,6.3,6,5.27,4.25,
F98,poly-hIgG,polyclonal,150,7.6,1,144,25,Histidine,6,100,NaCl,140,none,0,none,0,5.5,5.2,5.2,4.8,3.7,
F99,poly-hIgG,polyclonal,150,7.6,1,94,25,Histidine,6,100,NaCl,140,none,0,none,0,2.49,2.49,2.49,2.36,1.68,
F100,poly-hIgG,polyclonal,150,7.6,1,66,25,Histidine,6,100,NaCl,140,none,0,none,0,1.4,1.4,1.4,1.4,1.4,
F101,poly-hIgG,polyclonal,150,7.6,1,45,25,Histidine,6,100,NaCl,140,none,0,none,0,1.15,1.15,1.15,1.15,1.15,
F102,poly-hIgG,polyclonal,150,7.6,1,165,25,Histidine,6,100,NaCl,140,none,0,none,0,6.4,6.4,6.4,6,4.18,
F103,BGG,polyclonal,150,6.6,1,95.85,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.1,4.74,4.74,4.4,3.94,2.8,
F104,BGG,polyclonal,150,6.6,1,150.8,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.25,6.8,7.8,7.8,6.8,3.85,
F105,BGG,polyclonal,150,6.6,1,44,25,Histidine,6,100,NaCl,140,Sucrose,0.25,tween-20,0.15,2.2,2.2,2.2,2.2,2.2,
F106,BGG,polyclonal,150,6.6,1,71.5,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-80,0.2,5.7,5.7,5.7,5.23,4.9,
F107,poly-hIgG,polyclonal,150,7.6,1,135,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.2,4,4,4,3.7,3.1,
F108,poly-hIgG,polyclonal,150,7.6,1,174,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.1,7.5,7.5,7.5,6.3,4.82,
F109,poly-hIgG,polyclonal,150,7.6,1,89,25,Histidine,6,100,NaCl,140,Sucrose,0.5,tween-20,0.05,4.3,4.6,4.7,4.56,3.77,
F110,poly-hIgG,polyclonal,150,7.6,1,63,25,Histidine,6,100,NaCl,140,Sucrose,1,tween-80,0.15,6.8,6.8,6.8,6.8,6.8,
F111,poly-hIgG,polyclonal,150,7.6,1,202,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.02,13.7,13.4,13.4,9.7,5.04,
F112,poly-hIgG,polyclonal,150,7.6,1,202,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.02,12.7,11.2,11.2,8.9,6.33,
F113,poly-hIgG,polyclonal,150,7.6,1,211,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.02,14.9,13.9,12.3,9,6,
F114,poly-hIgG,polyclonal,150,7.6,1,211,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.02,13.8,13.8,13.8,9.2,6,
F115,BSA,other,66,4.7,0.3,98,25,Histidine,6,100,NaCl,140,none,0,none,0,1.55,1.55,1.55,1.55,1.45,
F116,BSA,other,66,4.7,0.3,127,25,Histidine,6,100,NaCl,140,none,0,none,0,3,2.5,2.5,2.4,2.3,
F117,BSA,other,66,4.7,0.3,194,25,Histidine,6,100,NaCl,140,none,0,none,0,4.17,4.17,4.17,3.8,2.5,
F118,BSA,other,66,4.7,0.3,266,25,Histidine,6,100,NaCl,140,none,0,none,0,13.45,8.7,8.7,7.5,5.5,
F119,BSA,other,66,4.7,0.3,72,25,PBS,7.4,10,NaCl,140,none,0,none,0,1.9,1.83,1.75,1.7,1.66,
F120,BSA,other,66,4.7,0.3,131,25,PBS,7.4,10,NaCl,140,none,0,none,0,3.7,3,2.5,2.2,1.7,
F121,BSA,other,66,4.7,0.3,183,25,PBS,7.4,10,NaCl,140,none,0,none,0,4.1,3.87,3.5,3,2,
F122,BSA,other,66,4.7,0.3,265,25,PBS,7.4,10,NaCl,140,none,0,none,0,7.5,7.5,7.3,6.5,4.4,
F123,BSA,other,66,4.7,0.3,193,25,Acetate,5,20,NaCl,140,none,0,none,0,5.8,5.8,5.8,5.5,3.35,
F124,BSA,other,66,4.7,0.3,66,25,Acetate,5,20,NaCl,140,none,0,none,0,1.6,1.6,1.6,1.6,1.45,
F125,BSA,other,66,4.7,0.3,110,25,Acetate,5,20,NaCl,140,none,0,none,0,2.45,2.45,2.45,2.4,1.25,
F126,BSA,other,66,4.7,0.3,132,25,Acetate,5,20,NaCl,140,none,0,none,0,3,3,3,3,3,
F127,poly-hIgG,polyclonal,150,7.6,1,213,25,Acetate,5,20,NaCl,140,none,0,none,0,14.7,13.58,12,7.8,4.35,
F128,poly-hIgG,polyclonal,150,7.6,1,63,25,Acetate,5,20,NaCl,140,none,0,none,0,2,2,2,2,1.78,
F129,poly-hIgG,polyclonal,150,7.6,1,101,25,Acetate,5,20,NaCl,140,none,0,none,0,2.65,2.65,2.65,2.55,2.4,
F130,poly-hIgG,polyclonal,150,7.6,1,167,25,Acetate,5,20,NaCl,140,none,0,none,0,5,5,5,4,2.77,
F131,BGG,polyclonal,150,6.6,1,203,25,Acetate,5,20,NaCl,140,none,0,none,0,20,17,16.5,12,4.58,
F132,BGG,polyclonal,150,6.6,1,79,25,Acetate,5,20,NaCl,140,none,0,none,0,1.9,1.87,1.8,1.8,1.52,
F133,BGG,polyclonal,150,6.6,1,108,25,Acetate,5,20,NaCl,140,none,0,none,0,2.9,2.9,2.9,2.8,2.16,
F134,BGG,polyclonal,150,6.6,1,163,25,Acetate,5,20,NaCl,140,none,0,none,0,5.5,5.5,5.5,5.3,4.56,
F135,BSA,other,66,4.7,0.3,150,25,Acetate,5,20,NaCl,140,Sucrose,0.51,none,0,5.5,5.5,5.5,5.4,4.11,
F136,BSA,other,66,4.7,0.3,94,25,Acetate,5,20,NaCl,140,Sucrose,0.978,none,0,7.3,7.3,7.3,7,6.22,
F137,poly-hIgG,polyclonal,150,7.6,1,171,25,Acetate,5,20,NaCl,140,Sucrose,0.488,none,0,11.94,11,10.3,7.8,4.17,
F138,poly-hIgG,polyclonal,150,7.6,1,111,25,Acetate,5,20,NaCl,140,Sucrose,0.986,none,0,12,11,10,8.2,5.75,
F139,BGG,polyclonal,150,6.6,1,159,25,Acetate,5,20,NaCl,140,Sucrose,0.476,none,0,10.5,10.5,10.5,8,4.65,
F140,BGG,polyclonal,150,6.6,1,97,25,Acetate,5,20,NaCl,140,Sucrose,1,none,0,13.4,11,11,9,6.24,
F141,BGG,polyclonal,150,6.6,1,181,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,17,17,15,10.3,4.14,
F142,BGG,polyclonal,150,6.6,1,154,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,7,6.5,6.5,5.5,3.45,
F143,BGG,polyclonal,150,6.6,1,102,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,3,3,3,2.8,2,
F144,BGG,polyclonal,150,6.6,1,75,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,2.2,2.2,2.2,2.2,2,
F145,BSA,other,66,4.7,0.3,183,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,4.4,4.4,4.4,4.4,3.8,
F146,BSA,other,66,4.7,0.3,125,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,3.3,3.3,3.3,3,1.5,
F147,BSA,other,66,4.7,0.3,105,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,2.7,2.7,2.7,2.4,1.5,
F148,BSA,other,66,4.7,0.3,63,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,2,2,2,2,1.3,
F149,poly-hIgG,polyclonal,150,7.6,1,202,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,10,10,10,7,3.4,
F150,poly-hIgG,polyclonal,150,7.6,1,158,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,5,5,5,4.5,3.4,
F151,poly-hIgG,polyclonal,150,7.6,1,95,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,2.95,2.95,2.95,2.85,2.4,
F152,poly-hIgG,polyclonal,150,7.6,1,60,25,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,1.6,1.6,1.6,1.6,1.6,
F153,poly-hIgG,polyclonal,150,7.6,1,220,25,Histidine,6,15,none,0,none,0,none,0,16,13.2,13.2,12,4,
F154,poly-hIgG,polyclonal,150,7.6,1,194,25,Acetate,6,20,none,0,none,0,none,0,13.8,13.8,13.4,12.5,3.5,
F155,poly-hIgG,polyclonal,150,7.6,1,209,25,Acetate,6,20,none,0,none,0,none,0,17.3,15.9,14.6,13,3.81,
F156,poly-hIgG,polyclonal,150,7.6,1,134,25,Acetate,6,20,none,0,none,0,none,0,7.4,7.4,7,6.5,2.21,
F157,poly-hIgG,polyclonal,150,7.6,1,175,25,Histidine,6,15,none,0,none,0,none,0,7.4,6.9,6.9,6.5,3.3,
F158,poly-hIgG,polyclonal,150,7.6,1,157,25,Acetate,6,20,none,0,none,0,none,0,6.5,6.5,6.5,5.8,2.6,
F159,poly-hIgG,polyclonal,150,7.6,1,163,25,Histidine,6,36,NaCl,32,none,0,none,0,10,8,8,7.6,2.5,
F160,poly-hIgG,polyclonal,150,7.6,1,150,25,Acetate,6,20,NaCl,32,none,0,none,0,6.6,5,4.9,4.3,2.3,
F161,poly-hIgG,polyclonal,150,7.6,1,175,30,Histidine,6,15,none,0,none,0,none,0,7,5.7,5.4,4.8,2,
F162,poly-hIgG,polyclonal,150,7.6,1,175,20,Histidine,6,15,none,0,none,0,none,0,11.6,11.6,10.2,8,3.28,
F163,Adalimumab,mAb_IgG1,148,8.7,0.3,143,25,Histidine,6,15,none,0,none,0,none,0,6.7,6.7,6.7,5.3,2.54,
F164,Adalimumab,mAb_IgG1,148,8.7,0.3,139,25,Acetate,5,20,none,0,none,0,none,0,7,5.7,5.7,4.54,2.28,
F165,Adalimumab,mAb_IgG1,148,8.7,0.3,100,25,Acetate,5,20,none,0,none,0,none,0,4,3.4,3.1,2.9,1.45,
F166,Adalimumab,mAb_IgG1,148,8.7,0.3,35,25,Acetate,5,20,none,0,none,0,tween-80,0.1,1.6,1.6,1.6,1.6,1.27,
F167,Adalimumab,mAb_IgG1,148,8.7,0.3,35,25,Acetate,5,20,none,0,Sucrose,0.5,none,0,2.14,2.14,2.14,2.1,1.2,
F168,Adalimumab,mAb_IgG1,148,8.7,0.3,52,25,Acetate,5,20,none,0,Sucrose,0.25,tween-80,0.05,2.2,2.2,2.2,2.2,2,
F169,Adalimumab,mAb_IgG1,148,8.7,0.3,100,25,Histidine,6,15,none,0,none,0,none,0,3.5,2.9,2.7,2.5,1.3,
F170,Adalimumab,mAb_IgG1,148,8.7,0.3,52,25,Histidine,6,15,none,0,Sucrose,0.5,none,0,3,2.7,2.2,1.8,1.2,
F171,Adalimumab,mAb_IgG1,148,8.7,0.3,52,25,Histidine,6,15,none,0,Sucrose,0.25,tween-80,0.05,3,2.6,1.85,1.8,1.15,
F172,Adalimumab,mAb_IgG1,148,8.7,0.3,35,25,Histidine,6,15,none,0,Sucrose,0.5,tween-80,0.1,2,2,1.9,1.9,1.9,
F173,Bevacizumab,mAb_IgG1,149,8.3,0.3,146,25,Acetate,5,20,none,0,none,0,none,0,3.5,3.5,3.5,3,1.75,
F174,Bevacizumab,mAb_IgG1,149,8.3,0.3,136,25,Histidine,6,15,none,0,none,0,none,0,3.6,3.6,3.3,3,1.66,
F175,Bevacizumab,mAb_IgG1,149,8.3,0.3,100,25,Histidine,6,15,none,0,none,0,none,0,3.3,3,2.55,2.55,1.4,
F176,Bevacizumab,mAb_IgG1,149,8.3,0.3,50,25,Histidine,6,15,none,0,Sucrose,0.5,none,0,1.77,1.77,1.77,1.65,1.3,
F177,Bevacizumab,mAb_IgG1,149,8.3,0.3,60,25,Histidine,6,15,none,0,Sucrose,0.25,tween-80,0.1,2.5,2.5,2.2,2.2,1.1,
F178,Bevacizumab,mAb_IgG1,149,8.3,0.3,80,25,Histidine,6,15,none,0,none,0,tween-80,0.1,2.5,2.5,2.5,2.5,2.1,
F179,Bevacizumab,mAb_IgG1,149,8.3,0.3,75,25,Acetate,5,20,none,0,none,0,none,0,1.5,1.5,1.5,1.4,1.15,
F180,Bevacizumab,mAb_IgG1,149,8.3,0.3,50,25,Acetate,5,20,none,0,Sucrose,0.5,tween-80,0.05,2.18,2.18,2.18,2.18,2.1,
F181,Bevacizumab,mAb_IgG1,149,8.3,0.3,75,25,Acetate,5,20,none,0,none,0,tween-80,0.05,1.9,1.8,1.8,1.8,1.8,
F182,Bevacizumab,mAb_IgG1,149,8.3,0.3,100,25,Acetate,5,20,none,0,Sucrose,0.25,tween-80,0.1,2.8,2.6,2.25,2,1.2,
F183,none,none,NaN,none,none,0,20,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,3.77,3.77,3.77,3.77,3.77,
F184,none,none,NaN,none,none,0,15,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,4.38,4.38,4.38,4.38,4.38,
F185,none,none,NaN,none,none,0,30,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,2.8,2.8,2.8,2.8,2.8,
