ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F4_syn_1,none,none,0.0,,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.0,0.0,0.9900799190725116,0.9874942411063982,0.9850327127405141,0.9836396116347057,0.9828523919931756
F4_syn_2,none,none,0.0,,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.0,0.0,0.9799702580209187,0.977421822606862,0.9750254917941883,0.9736684044280894,0.9728914799753107
F5,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.5,none,0.0,none,0.0,0.9,0.9,8.31,8.31,8.31,6.83,4.6
F5_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.5,none,0.0,none,0.0,0.9,0.9,9.312262778426096,9.312262778269211,9.312242336847955,7.570096401099512,4.275651227199816
F5_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.5,none,0.0,none,0.0,0.9,0.9,8.172860232164236,8.172860232111042,8.172850748317082,7.061793944900121,4.932507929027871
F6,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,70.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,8.84,8.84,8.84,6.93,4.16
F6_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,70.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,9.053299383963573,9.053299383769662,9.053280584794715,7.730162778099562,4.224479969519864
F6_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,70.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,9.020789531862148,9.020789531597572,9.020760276071004,7.018349721452253,3.7651242527250632
F7,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,93.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,2.44,2.44,2.44,2.23,2.0
F7_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,93.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,2.331167590797363,2.331167590670558,2.33116213656424,2.1951791158076492,2.007654273594922
F7_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,93.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,2.423810387504617,2.4238103874107577,2.4238068242598523,2.3466253949779436,2.24406940840911
F8,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,47.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,1.84,1.84,1.84,1.68,1.2
F8_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,47.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,1.7813519932258475,1.7813519927879522,1.7813431961863897,1.6468554064520362,1.218473166956284
F8_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,47.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,1.8131151999527217,1.8131151999280486,1.8131133261209371,1.699730490550865,1.255257639601285
F9,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,140.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.25,none,0.0,none,0.0,0.9,0.9,6.15,5.35,5.35,4.62,3.26
F9_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,140.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.25,none,0.0,none,0.0,0.9,0.9,5.744190093373557,5.374400910678482,4.9266039401177775,4.408037428949578,3.1407670943012964
F9_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,140.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.25,none,0.0,none,0.0,0.9,0.9,6.375632953610496,5.967264053202964,5.466916251372022,4.8819987389311645,3.441570802902295
F10,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,52.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,none,0.0,none,0.0,0.9,0.9,3.57,3.57,3.34,2.89,2.58
F10_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,52.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,none,0.0,none,0.0,0.9,0.9,3.421634446087203,3.4009238345159387,3.263228905323025,2.91259650159812,2.707685867748613
F10_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,52.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,none,0.0,none,0.0,0.9,0.9,3.51901501905833,3.490766715957619,3.3082322251874188,2.8472872000066434,2.5696865182425084
F11,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,145.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,14.72,14.49,14.49,11.55,6.92
F11_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,145.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,13.584214963506781,13.581264851282652,13.470156292412026,10.894652547304343,6.780767777213616
F11_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,145.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,14.639199477010369,14.636706561626234,14.52891914556653,11.635145044137955,6.902514057795699
F12,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,137.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.1,none,0.0,0.9,0.9,4.14,4.14,4.14,3.15,2.25
F12_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,137.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.1,none,0.0,0.9,0.9,4.096956813070435,4.096956812299182,4.096905997850895,2.875970286444444,2.1751336890601087
F12_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,137.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.1,none,0.0,0.9,0.9,4.212745075717913,4.21274507495532,4.212706868138908,3.2432802899496362,2.2485653582425544
F13,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,tween-20,0.1,none,0.0,0.9,0.9,17.25,17.25,17.25,14.7,13.0
F13_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,tween-20,0.1,none,0.0,0.9,0.9,17.61005409487746,17.610054094700118,17.610019695861556,14.89541198125676,13.033472140786193
F13_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,142.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,tween-20,0.1,none,0.0,0.9,0.9,15.625780509023057,15.625780507664974,15.625714557034794,14.513757047087964,13.922353595235172
F14,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,none,0.0,none,0.0,0.0,0.0,1.15,1.15,1.15,1.15,1.15
F14_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,none,0.0,none,0.0,0.0,0.0,1.1643843140026497,1.1469721028980326,1.1305914200175247,1.121002160755397,1.1151668985420709
F14_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,none,0.0,none,0.0,0.0,0.0,1.085877034072306,1.0816613176476657,1.0775646164419457,1.0751351897369323,1.073668575223372
F15,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,none,0.0,none,0.0,0.0,0.0,1.25,1.25,1.25,1.25,1.25
F15_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,none,0.0,none,0.0,0.0,0.0,1.2081090901370415,1.2048724843294059,1.2018199488074492,1.20014562943128,1.199243549690723
F15_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,none,0.0,none,0.0,0.0,0.0,1.1568077505222059,1.153501798869283,1.1504699554111086,1.1489433799761843,1.14821703139446
F16,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.4,none,0.0,none,0.0,0.0,0.0,1.5,1.5,1.5,1.5,1.5
F16_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.4,none,0.0,none,0.0,0.0,0.0,1.511584201182316,1.5077388114080368,1.504109153087212,1.5020031837427448,1.5007469537303078
F16_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.4,none,0.0,none,0.0,0.0,0.0,1.525787652887961,1.5217868782539805,1.517992599311893,1.5158571340718865,1.51465822359317
F17,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.5,none,0.0,none,0.0,0.0,0.0,1.65,1.65,1.65,1.65,1.65
F17_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.5,none,0.0,none,0.0,0.0,0.0,1.5949914646164456,1.5909061291604294,1.5870332178152906,1.584798436932607,1.583484504840941
F17_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.5,none,0.0,none,0.0,0.0,0.0,1.6288681140612016,1.6242642727624137,1.620004480100027,1.6178247021769026,1.6167667323266321
F18,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,none,0.0,none,0.0,0.0,0.0,2.25,2.25,2.25,2.25,2.25
F18_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,none,0.0,none,0.0,0.0,0.0,2.2513727875515968,2.2271204149375827,2.2043675361729855,2.191467138764874,2.1840497153508367
F18_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,none,0.0,none,0.0,0.0,0.0,2.3987300207623115,2.382729908438946,2.3675028762236683,2.359185235498507,2.3547741052535285
F19,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,260.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,27.03,24.15,21.85,14.7,6.5
F19_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,260.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,28.1725258884401,26.687973902231715,22.739669565329326,15.942941708958767,6.710882781044366
F19_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,260.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.9,0.9,26.165748772065065,24.62622993616949,20.867714235063907,14.786273401579063,6.352371659262881
F20,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,240.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,76.59,56.35,37.95,29.4,18.0
F20_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,240.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,76.34186430926586,54.297416980315674,37.449291821061024,26.798558374148698,17.401522771634244
F20_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,240.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,72.80783554480793,53.01918022368487,37.55920759385316,27.47906096061817,18.163207594071267
F21,BSA,other,2.0,66.0,4.7,0.3,185.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.41,none,0.0,none,0.0,0.85,0.9,9.09,9.09,8.63,6.93,3.58
F21_syn_1,BSA,other,2.0,66.0,4.7,0.3,185.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.41,none,0.0,none,0.0,0.85,0.9,8.672439398053296,8.619665978983418,8.279588950892743,6.790457273446715,3.849229683994626
F21_syn_2,BSA,other,2.0,66.0,4.7,0.3,185.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.41,none,0.0,none,0.0,0.85,0.9,9.031503725512785,8.96159414411226,8.54831141085662,6.904710366520488,3.7928745284498877
F22,BSA,other,2.0,66.0,4.7,0.3,83.3,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.19,none,0.0,none,0.0,0.85,0.9,2.19,2.19,2.19,2.0,1.56
F22_syn_1,BSA,other,2.0,66.0,4.7,0.3,83.3,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.19,none,0.0,none,0.0,0.85,0.9,2.3425242823125894,2.342524282172503,2.3425180782681054,2.131634221265344,1.4352841170158073
F22_syn_2,BSA,other,2.0,66.0,4.7,0.3,83.3,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.19,none,0.0,none,0.0,0.85,0.9,2.0036509711383688,2.003650970851717,2.0036446508880195,1.9111748783463223,1.728741546388639
F23,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,38.3,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.21,none,0.0,0.9,0.9,1.32,1.32,1.32,1.21,1.15
F23_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,38.3,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.21,none,0.0,0.9,0.9,1.3254529175441085,1.3254529175300143,1.325451054208578,1.2257733151559156,1.1580278742492338
F23_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,38.3,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.21,none,0.0,0.9,0.9,1.352389326965566,1.3523893269189466,1.3523835505997004,1.1394978420014052,1.049365686804326
F24,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,124.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.09,none,0.0,0.9,0.9,2.99,2.99,2.99,2.73,2.6
F24_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,124.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.09,none,0.0,0.9,0.9,3.0917623944258272,3.0917623941180605,3.0917368228907454,2.4792144549960584,2.2310934938068496
F24_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,124.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.09,none,0.0,0.9,0.9,3.0826175653606396,3.082617565188124,3.082607742094549,2.8637003273359443,2.722932621205593
F25,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,189.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.05,none,0.0,0.9,0.9,9.2,9.2,9.2,6.83,4.17
F25_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,189.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.05,none,0.0,0.9,0.9,8.97572942230309,8.975729421996858,8.975685835047347,6.2186125148755,4.013258153097921
F25_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,189.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.05,none,0.0,0.9,0.9,8.227291798469345,8.227291798328599,8.227270921941054,6.4778368158119335,4.20591339443281
F26,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,95.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.46,none,0.0,none,0.0,0.9,0.9,4.37,3.85,3.85,3.15,2.24
F26_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,95.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.46,none,0.0,none,0.0,0.9,0.9,4.8102556905620455,4.489245273708949,4.072955942980181,3.573092268038457,2.3916105535863044
F26_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,95.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.46,none,0.0,none,0.0,0.9,0.9,4.022412781884652,3.757023826601051,3.417374527164256,3.0141621493324195,2.0711908285530276
F27,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,164.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.3,tween-20,0.1,none,0.0,0.9,0.9,7.82,6.9,6.67,5.15,4.0
F27_syn_1,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,164.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.3,tween-20,0.1,none,0.0,0.9,0.9,8.277097401558045,7.799099013009778,6.844742641213379,5.591858037059517,4.067780222028894
F27_syn_2,poly-hIgG,polyclonal,3.0,150.0,7.6,1.0,164.0,27.5,PBS,7.4,10.0,NaCl,140,Sucrose,0.3,tween-20,0.1,none,0.0,0.9,0.9,7.93455362724628,7.44882889460653,6.566850950704914,5.4692731724811345,4.075086781642971
F28,BSA,other,2.0,66.0,4.7,0.3,177.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.85,0.9,5.06,4.6,4.6,3.99,3.0
F28_syn_1,BSA,other,2.0,66.0,4.7,0.3,177.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.85,0.9,4.771324004771356,4.534139080754937,4.230088096425757,3.8561856240962764,2.8504985291248803
F28_syn_2,BSA,other,2.0,66.0,4.7,0.3,177.0,27.5,PBS,7.4,10.0,NaCl,140,none,0.0,none,0.0,none,0.0,0.85,0.9,4.409331070505926,4.186245260093618,3.903510183932143,3.559357062144475,2.64439024162832
F29,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.1,none,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
F29_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.1,none,0.0,0.0,0.0,0.9961508783053277,0.9915366514574954,0.9872031509763168,0.98478963636224,0.9834477382994157
F29_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.1,none,0.0,0.0,0.0,1.0540391494468266,1.0469249430195746,1.04010751517897,1.0359817426286615,1.0333569223158319
F30,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.05,none,0.0,0.0,0.0,0.97,0.97,0.97,0.97,0.97
F30_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.05,none,0.0,0.0,0.0,0.9167799630004766,0.9143595707654691,0.9120709416269158,0.9107937295923418,0.9100855796321452
F30_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,none,0.0,tween-20,0.05,none,0.0,0.0,0.0,0.9124784469233361,0.9015728738003735,0.8911187977874757,0.8851997975253716,0.8818746374479146
F31,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,tween-20,0.1,none,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2
F31_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,tween-20,0.1,none,0.0,0.0,0.0,1.168379381738651,1.1652875480928748,1.1624173652511651,1.160829011019582,1.159946432086327
F31_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,tween-20,0.1,none,0.0,0.0,0.0,1.268957972597,1.2170549417145637,1.1695770240316892,1.1451962678901946,1.1331693523263533
F32,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,tween-20,0.1,none,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3
F32_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,tween-20,0.1,none,0.0,0.0,0.0,1.296697085438424,1.2830309267997175,1.270138012166134,1.26300082283512,1.2590925601304572
F32_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,tween-20,0.1,none,0.0,0.0,0.0,1.3232901277269706,1.3196650491621986,1.3162986510874215,1.314507229395365,1.313579404125941
F33,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.4,tween-20,0.1,none,0.0,0.0,0.0,1.55,1.55,1.55,1.55,1.55
F33_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.4,tween-20,0.1,none,0.0,0.0,0.0,1.5612448046926064,1.5140891121357736,1.4702893294163935,1.4479632733616226,1.4372356182057835
F33_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.4,tween-20,0.1,none,0.0,0.0,0.0,1.5359911482585955,1.5321683608055454,1.528500474174544,1.5263121053693331,1.5249587232384252
F34,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0.0,0.0,0.0,2.32,2.32,2.32,2.32,2.32
F34_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0.0,0.0,0.0,2.202687298733782,2.196696866518867,2.1911733004499334,2.188215064635707,2.186655357685843
F34_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0.0,0.0,0.0,2.358230502995671,2.3477476014727316,2.3378780556445102,2.332581281736252,2.329831424724811
F35,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,tween-20,0.05,none,0.0,0.0,0.0,1.17,1.17,1.17,1.17,1.17
F35_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,tween-20,0.05,none,0.0,0.0,0.0,1.2038243266789679,1.1934047489403208,1.1833427166340658,1.1775731537307919,1.1742798407319732
F35_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.1,tween-20,0.05,none,0.0,0.0,0.0,1.254477870036217,1.24399382382881,1.2342123546747557,1.2285149380007347,1.2250522863898827
F36,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,tween-20,0.05,none,0.0,0.0,0.0,1.27,1.27,1.27,1.27,1.27
F36_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,tween-20,0.05,none,0.0,0.0,0.0,1.2276610657570834,1.2244681689172408,1.2214432803426687,1.2197262228680794,1.2187460782348558
F36_syn_2,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.2,tween-20,0.05,none,0.0,0.0,0.0,1.1990202722175964,1.1957974448920674,1.19272829174291,1.1910468881946632,1.1901510948064815
F37,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.4,tween-20,0.05,none,0.0,0.0,0.0,1.52,1.52,1.52,1.52,1.52
F37_syn_1,none,none,0.0,0.0,0.0,0.0,0.0,25.0,PBS,7.4,10.0,NaCl,140,Sucrose,0.4,tween-20,0.05,none,0.0,0.0,0.0,1.4708944746537842,1.4705279607846091,1.470181194476665,1.4699778508754473,1.469854410585339
