ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,VH_pI,VL_pI,Fv_pI,VH_Charge_pH5_8,VL_Charge_pH5_8,Fv_Charge_pH5_8,Whole_Charge
10048,Dupilumab,mAb_IgG4,3.5,147,6.8,0.3,150,25,Histidine,5.5,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,8.636,5.175,7.453,2.619,-0.501,2.117,0.000
10049,Dupilumab,mAb_IgG4,3.5,147,6.8,0.3,150,25,Histidine,6.0,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,8.636,5.175,7.453,2.184,-0.865,1.319,0.000
10050,Dupilumab,mAb_IgG4,3.5,147,6.8,0.3,150,25,Histidine,6.5,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,8.636,5.175,7.453,1.997,-1.047,0.950,0.000
10051,Dupilumab,mAb_IgG4,3.5,147,6.8,0.3,150,25,Histidine,7.0,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,8.636,5.175,7.453,1.823,-1.255,0.568,0.000
10052,Dupilumab,mAb_IgG4,3.5,147,6.8,0.3,150,25,Histidine,7.5,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,8.636,5.175,7.453,1.520,-1.594,-0.073,0.000
10053,Ixekizumab,mAb_IgG4,3.5,146,7.7,0.3,150,25,Histidine,5.0,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,6.912,9.302,8.614,3.445,7.810,11.255,0.000
10054,Ixekizumab,mAb_IgG4,3.5,146,7.7,0.3,150,25,Histidine,5.5,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,6.912,9.302,8.614,2.083,6.637,8.720,0.000
10055,Ixekizumab,mAb_IgG4,3.5,146,7.7,0.3,150,25,Histidine,6.0,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,6.912,9.302,8.614,1.139,5.562,6.701,0.000
10056,Ixekizumab,mAb_IgG4,3.5,146,7.7,0.3,150,25,Histidine,6.5,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,6.912,9.302,8.614,0.425,4.637,5.062,0.000
10057,Ixekizumab,mAb_IgG4,3.5,146,7.7,0.3,150,25,Histidine,7.0,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,6.912,9.302,8.614,-0.081,4.005,3.924,0.000
10058,Ixekizumab,mAb_IgG4,3.5,146,7.7,0.3,150,25,Histidine,7.5,10,none,0,none,0,none,0,none,0,1.3,1.1,,,,,,6.912,9.302,8.614,-0.544,3.499,2.955,0.000
10059,Lecanemab,mAb_IgG1,3,147,8.3,0.3,150,25,Histidine,5.0,10,none,0,none,0,none,0,none,0,1,1,,,,,,8.019,8.661,8.369,3.440,5.124,8.564,0.000
10060,Lecanemab,mAb_IgG1,3,147,8.3,0.3,150,25,Histidine,5.5,10,none,0,none,0,none,0,none,0,1,1,,,,,,8.019,8.661,8.369,2.301,3.967,6.268,0.000
10061,Lecanemab,mAb_IgG1,3,147,8.3,0.3,150,25,Histidine,6.0,10,none,0,none,0,none,0,none,0,1,1,,,,,,8.019,8.661,8.369,1.650,3.101,4.751,0.000
10062,Lecanemab,mAb_IgG1,3,147,8.3,0.3,150,25,Histidine,6.5,10,none,0,none,0,none,0,none,0,1,1,,,,,,8.019,8.661,8.369,1.221,2.414,3.635,0.000
10063,Lecanemab,mAb_IgG1,3,147,8.3,0.3,150,25,Histidine,7.0,10,none,0,none,0,none,0,none,0,1,1,,,,,,8.019,8.661,8.369,0.906,1.920,2.826,0.000
10064,Lecanemab,mAb_IgG1,3,147,8.3,0.3,150,25,Histidine,7.5,10,none,0,none,0,none,0,none,0,1,1,,,,,,8.019,8.661,8.369,0.543,1.471,2.014,0.000
10065,Risankizumab,mAb_IgG1,3,145,8.3,0.3,150,25,Histidine,5.0,10,none,0,none,0,none,0,none,0,1,1,,,,,,7.916,9.008,8.587,3.641,5.886,9.527,0.000
10066,Risankizumab,mAb_IgG1,3,145,8.3,0.3,150,25,Histidine,5.5,10,none,0,none,0,none,0,none,0,1,1,,,,,,7.916,9.008,8.587,2.366,4.872,7.238,0.000
10067,Risankizumab,mAb_IgG1,3,145,8.3,0.3,150,25,Histidine,6.0,10,none,0,none,0,none,0,none,0,1,1,,,,,,7.916,9.008,8.587,1.661,4.068,5.729,0.000
10068,Risankizumab,mAb_IgG1,3,145,8.3,0.3,150,25,Histidine,6.5,10,none,0,none,0,none,0,none,0,1,1,,,,,,7.916,9.008,8.587,1.196,3.403,4.599,0.000
10069,Risankizumab,mAb_IgG1,3,145,8.3,0.3,150,25,Histidine,7.0,10,none,0,none,0,none,0,none,0,1,1,,,,,,7.916,9.008,8.587,0.831,2.916,3.747,0.000
10070,Risankizumab,mAb_IgG1,3,145,8.3,0.3,150,25,Histidine,7.5,10,none,0,none,0,none,0,none,0,1,1,,,,,,7.916,9.008,8.587,0.421,2.467,2.887,0.000
